Name,Location,Rank,Description,Tuition Fees,In-state,Undergrad Enrollment
Ball State University,"Muncie, IN",176,"Ball State University is located in Muncie, Indiana, about an hour northeast of Indianapolis. Students at Ball State can choose from about 180 undergraduate majors, including an entrepreneurship program. In their senior year, entrepreneurship students must pass the New Venture Creation course, for which they develop a business plan that is presented to a panel of business professionals before graduation. Master's students at Ball State University can earn degrees in more than 100 fields, including those in the Miller College of Business and the Teachers College. Outside the classroom, Ball State students can get involved in more than 350 campus organizations and play club and recreational sports. More serious athletes can try out for the Ball State Cardinals varsity teams, which compete in the NCAA Division I Mid-American Conference. Notable alumni include late-night talk show host David Letterman, who developed a scholarship for creative Ball State media students with average grades. ","$25,428 ","$9,654 ","16,602"
Lipscomb University,"Nashville, TN",176,"Founded in 1891, Lipscomb University is a private institution. The school has 57.1 percent of its classes with fewer than 20 students, and the student-faculty ratio at Lipscomb University is 12:1. ","$29,756 ",,"3,030"
Mississippi State University,"Mississippi State, MS",176,"Mississippi State University is located in the city of Starkville, about 170 miles southeast of Memphis. Students at Mississippi State can choose from more than 160 academic degrees, including master's degrees through the Bagley College of Engineering and in the fields of business and education. Mississippi State also has a highly ranked program in the College of Veterinary Medicine. Mississippi State, often called MSU, has held onto many traditions that students still follow. For years, students have rattled cowbells at sports games, attended The Drill pep rally to start off the school year and athletic seasons and cheered with Bully, the live bulldog mascot. The Mississippi Bulldogs varsity teams compete in about 15 sports and are members of the NCAA Division I Southeastern Conference. Students can also get involved by joining MSU's more than 300 campus clubs, pledging with more than 30 fraternities and sororities or running for student government. Notable MSU alumni include bestselling author John Grisham, who earned a degree in accounting. ","$20,142 ","$7,502 ","17,421"
Montclair State University,"Montclair, NJ",176,"Montclair State University is located in New Jersey, about 14 miles west of New York City. Students at Montclair can choose from about 300 academic programs, which include master's degrees in the fields of business, education and fine arts. Montclair students can make the most of their studies by visiting the school's Center for Career Services and Cooperative Education, which helps them plan for their future, gain jobs and internships, and research the industry they will likely enter after graduation. Students can get involved outside the classroom by exploring more than 200 clubs, joining Greek life or simply participating in ""Red Hawk Friday,"" in which students show school spirit by wearing Montclair apparel. Student athletes can play at the intramural, club and varsity levels. There are more than 15 Montclair Red Hawks intercollegiate sports teams that compete in the NCAA Division III New Jersey Athletic Conference. Bruce Willis, star of the ""Die Hard"" movies and ""Pulp Fiction,"" attended Montclair and later received an honorary degree. ","$20,318 ","$11,771 ","16,336"
Texas Tech University,"Lubbock, TX",176,"Texas Tech University is a large research institution in the college town of Lubbock. Students are required to live on campus until they have completed 30 hours of course work. The Texas Tech Red Raiders sports teams compete in the NCAA Big 12 Conference and are particularly competitive in football and basketball. Students can join more than 450 student organizations, including Texas Tech's large Greek community, made up of about 50 fraternities and sororities. The university also runs research centers and institutes, including the National Wind Institute. The school offers a wide variety of graduate programs, including degrees through the Jerry S. Rawls College of Business Administration, the Edward E. Whitacre Jr. College of Engineering and the School of Law. Notable alumni of Texas Tech University include Ed Whitacre, former chairman and CEO of both AT&T and General Motors and the namesake of the engineering school; Grammy-nominated country singer Pat Green; and actor Brad Leland, who appeared in both the feature film and television series ""Friday Night Lights. ","$22,861 ","$10,622 ","29,237"
University of Central Florida,"Orlando, FL",176,"The University of Central Florida is, fittingly, a school that's spread across the middle of the state. UCF is based in Orlando and has more than 10 regional campuses in locations including Daytona Beach, Ocala and South Lake. Freshmen at the Orlando campus are not required to live on campus and, because of limited space, those who hope to are encouraged to apply early for housing. There are more than 40 fraternities and sororities in the school's large Greek system, as well as more than 300 other student organizations to consider joining. The UCF Knights compete in the NCAA Division I American Athletic Conference. The University of Central Florida has many programs for graduate students, too, including those through the College of Business Administration, College of Engineering and Computer Science and College of Education. Notable alumni of the University of Central Florida include Cheryl Hines, an actress who starred in HBO's ""Curb Your Enthusiasm""; comedian Daniel Tosh, star of Comedy Central's ""Tosh.0""; and former soccer player Michelle Akers, a member of the National Soccer Hall of Fame. ","$22,467 ","$6,368 ","54,513"
University of New Mexico,"Albuquerque, NM",176,"Founded in 1889, University of New Mexico is a public institution. University of New Mexico follows a semester-based academic calendar and its admissions are considered selective. ","$21,302 ","$7,071 ","20,522"
Andrews University,"Berrien Springs, MI",183,"Founded in 1874, Andrews University is a private institution. The school has 69.4 percent of its classes with fewer than 20 students, and the student-faculty ratio at Andrews University is 9:1. ","$27,684 ",,"1,733"
Azusa Pacific University,"Azusa, CA",183,"Founded in 1899, Azusa Pacific University is a private institution. Azusa Pacific University offers a Greek system, where 0 percent of the student body is involved in a sorority and 0 percent is involved in a fraternity. ","$36,120 ",,"5,883"
University of Maine,"Orono, ME",183,"Located on the banks of the Stillwater River in the town of Orono, the University of Maine campus is about 60 miles from the Atlantic coast and approximately 100 miles from the Canadian border. At the University of Maine, students can choose from nearly 90 undergraduate majors and more than 70 master's degree programs, including business, law, engineering and education. Outside the classroom, University of Maine students participate in many annual events. When freshmen move into the dorms before fall semester, faculty and staff volunteers greet the new students, help them move in and direct traffic as part of the Maine Hello program. Each spring, classes are canceled for Maine Day, when the university community hosts a parade, and then everyone helps clean the campus. The university, often called UMaine, also has more than 200 student organizations and about 25 fraternities and sororities for students to join. Student athletes at UMaine can get involved at the intramural, club and varsity levels. The UMaine Black Bears intercollegiate sports teams compete in various conferences of the NCAA Division I and are best known for hockey. Notable UMaine alumni include bestselling horror author Stephen King, who wrote ""Carrie"" and ""The Green Mile. ","$29,498 ","$10,628 ","9,297"
West Virginia University,"Morgantown, WV",183,"West Virginia University is a public institution located along the Monongahela River in the small city of Morgantown in the northern part of the state. WVU offers nearly 200 bachelor's, master's, doctoral and professional programs within 15 colleges. A few of the graduate degrees available include those in the College of Business and Economics, the College of Engineering and Mineral Resources and the School of Medicine, which is home to the highly ranked rural medicine and primary care programs. Students who want to take a break from academics for the weekend can take a road trip from the WVU campus, situated near the Pennsylvania border, to the cities of Pittsburgh, Cleveland or Washington. Students at WVU can help others through the Center for Service and Learning, which gives class credit for community service and promotes events such as Random Acts of Kindness Week. There are also more than 400 student organizations for students to try, including nearly 30 Greek chapters, as well as club and intramural sports. For varsity athletics, students can choose from nearly 20 WVU Mountaineers teams, which compete in the NCAA Division I Big 12 Conference. Notable WVU alumni include Don Knotts, better known as the gawky deputy Barney Fife in ""The Andy Griffith Show. ","$21,432 ","$7,632 ","22,498"
Widener University,"Chester, PA",183,"Widener University is located in Chester, Pennsylvania, about 15 miles south of Philadelphia. The school began as a preparatory school for boys in 1821, became a military academy a few decades later, and is now a coed university with more than 40 undergraduate programs. Students at Widener University can also pursue a variety of master's degree programs, including business, law and education. Part of Widener University's mission is to help the local community, so each year, many Widener students tutor and mentor local children, build houses, donate blood and help low-income Chester residents with their taxes. At Widener University, students can get involved in more than 80 campus clubs, pledge with about 10 fraternities and sororities and play intramural sports. More serious athletes can join the Widener Pride athletic teams, which compete in the NCAA Division III Commonwealth Conference. Esteemed director Cecil B. DeMille, whose films include ""The Ten Commandments"" and ""Cleopatra,"" attended Widener when it was known as Pennsylvania Military College. ","$42,870 ",,"3,554"
Kent State University,"Kent, OH",188,"Kent State University is located in northeastern Ohio, about 40 miles south of Cleveland, with seven regional campuses situated across the state. Students at Kent State can choose from more than 300 academic programs, including graduate degrees from the College of Business Administration, the College of Education, Health and Human Services and the highly ranked School of Speech Pathology and Audiology. Undergraduates at Kent State have a unique opportunity to earn a degree in peace and conflict studies, which is offered through the Center for Applied Conflict Management. This center was created shortly after the headline-making 1970 incident in which Ohio National Guardsmen killed four Kent State students during a Vietnam War protest. Outside the classroom, Kent State students can get involved in more than 200 campus organizations, including Greek life, leadership programs and community service clubs. There are also many events nearby at the Blossom Music Center, the Porthouse Theatre and the Wick Poetry Center, as well as in the neighboring cities of Cleveland and Akron. Student athletes can get involved by playing intramural sports or by trying out for the many Kent State Golden Flashes varsity teams, which compete in the NCAA Division I Mid-American Conference. The members of new wave band Devo attended Kent, as did actor Michael Keaton, comedian Drew Carey and writer David Sedaris, although they did not graduate. Kent State alumni include former talk show host Arsenio Hall and many NFL players, including two-time Super Bowl winner James Harrison. ","$18,376 ","$10,012 ","23,607"
North Dakota State University,"Fargo, ND",188,"North Dakota State University is located in the city of Fargo, on the eastern border of the state. Undergraduates at North Dakota State can choose from more than 100 academic majors, and graduate students can study many master's programs as well, including business, engineering and education. Outside the classroom, NDSU students can get involved by exploring nearly 300 campus clubs, pledging with more than 10 fraternities and sororities, and joining student government. Student athletes can try out for the yellow and green NDSU Bison varsity teams, also known as the ""Thundering Herd,"" which compete in the NCAA Division I Summit League and Missouri Valley Football Conference. NDSU teams were previously named the Farmers and the Aggies, but athletic officials wanted them to be known as something fiercer, and so chose an animal that once roamed the state in large numbers. Notable North Dakota State alumni include Alf Clausen, Emmy Award-winning music director for ""The Simpsons"" television show. ","$19,790 ","$9,046 ","12,037"
Pace University,"New York, NY",188,"With two main campuses, Pace University offers its students two distinct collegiate experiences. At the school's New York City campus, students live and learn amid the bustle of Manhattan's Financial District. About 30 miles away, students can enjoy a suburban lifestyle on the school's Westchester campus in Pleasantville, New York. Undergraduates have on-campus housing options at both locations, though many students choose to commute. Each campus also has its own selection of student organizations, including fraternities and sororities. The Pace University sports teams, known as the Setters, compete in the NCAA Division II Northeast-10 Conference. ""Inside the Actors Studio,"" a television show, is filmed at Pace's Michael Schimmel Center for the Arts at the New York City campus, so students can attend tapings for free. Pace also has a law school, which is particularly well regarded for environmental law, and the Lubin School of Business. Notable alumni of Pace University include James Quinn, former president of Tiffany & Co., and Ivan Seidenberg, former CEO of Verizon Communications Inc. Culinary whiz Rachael Ray attended Pace University, though she dropped out after two years. ","$42,772 ",,"8,747"
Robert Morris University,"Moon Township, PA",188,"Founded in 1921, Robert Morris University is a private institution. Robert Morris University follows a semester-based academic calendar and its admissions are considered selective. ","$28,250 ",,"4,497"
Suffolk University,"Boston, MA",188,"Visitors to the Massachusetts State House in the heart of downtown Boston have surely come across the campus of Suffolk University, situated in the historic neighborhood of Beacon Hill. Students are not required to live on campus during their career at the university, and the majority of undergraduate students live off campus in apartments or commute from home. The Suffolk Rams are members of the NCAA Division III Great Northeast Athletic Conference and the Eastern College Athletic Conference. The school hosts about a dozen varsity sports and provides seasonal intramural sports for its student body. ","$35,578 ",,"5,565"
University of Hartford,"West Hartford, CT",188,"The University of Hartford, also known as UHart or U of H, is located in central Connecticut, midway between Boston and New York City. Undergraduates at the University of Hartford can choose from more than 80 fields of study, and graduate students can pursue degrees in more than 30 programs, including those in the Barney School of Business and the College of Education, Nursing and Health Professions. Students at the University of Hartford embrace traditions such as the Martin Luther King Jr. celebration; Midnight Breakfast, during which students are served late-night food during finals week; and Spring Fling, an annual party with live music and food. For another tradition, freshmen sign a class banner that hangs in the library foyer for four years until it's presented again at their graduation ceremony. The University of Hartford also offers dozens of organizations for students to explore, including fraternities and sororities and recreational sports. Student athletes can also try out for one of the Hartford Hawks sports teams, which compete in the NCAA Division I America East Conference. ","$37,790 ",,"5,246"
Bowling Green State University,"Bowling Green, OH",194,"Bowling Green State University is located in northern Ohio, about 85 miles south of Detroit and 115 miles west of Cleveland. Freshmen at BGSU may join a Learning Community, which allows them to take a course with and live near other students who share a common interest. Undergraduates at Bowling Green can choose from more than 200 degrees, and master's students can choose from about 50 graduate programs, including in the fields of business, education and health. The BGSU campus is home to several unique buildings, such as the music building, which looks like a baby grand piano from above, and the recreation center, which resembles the school's falcon mascot from above. Students can join nearly 300 clubs, about 40 Greek organizations and maybe even the SICSIC spirit crew. This group, which has been around since the 1940s, consists of six anonymous members who dress in Halloween masks and work uniforms and secretly post spirit messages and signs on campus. Student athletes can play at the recreational level or try out for one of the many BGSU Falcons varsity sports teams, which compete in the NCAA Division I Mid-American Conference. Notable alumni include Academy Award-winning actress Eva Marie Saint, who was named Bowling Green's Pi Kappa Alpha Dream Girl before she went on to star in the movies ""On the Waterfront"" and Alfred Hitchcock's ""North by Northwest. ","$18,332 ","$10,796 ","14,334"
University of Houston,"Houston, TX",194,"The University of Houston is situated in one of the largest cities in the country, which puts students in an ideal location to find internships and research opportunities. The campus is located in downtown Houston, and freshmen are not required to live on campus. Each year, students turn the campus into a town called Fiesta City in time for the Frontier Fiesta, a string of concerts, talent shows, cook-offs and . There are more than 400 student organizations to check out, including fraternities and sororities. The UH Cougars compete in the NCAA Division I American Athletic Conference and are well known for football and basketball. With more than 40 centers, the University of Houston is devoted to research and community initiatives. There are a wide variety of graduate programs, including the University of Houston Law Center, which is well known for health care law and intellectual property law, as well as for its part-time law program. There is also the C.T. Bauer College of Business and the Cullen College of Engineering, among other graduate schools. Actors and brothers Randy and Dennis Quaid, country singer Kenny Rogers and Olympic track star Carl Lewis attended the University of Houston. ","$25,410 ","$10,710 ","34,716"
Western Michigan University,"Kalamazoo, MI",194,"Western Michigan University is located in the city of Kalamazoo, midway between Detroit and Chicago. The university offers more than 140 undergraduate programs and many master's degrees as well, including those in the Haworth College of Business, the College of Engineering and Applied Sciences and the College of Education and Human Development. Graduate students interested in careers in health can enroll in highly ranked programs training speech-language pathologists, physician assistants, rehabilitation counselors and audiologists. Outside the classroom, WMU students can get involved by exploring more than 300 student organizations, playing a recreational sport or pledging one of the nearly 30 fraternities and sororities. Off campus, WMU students can check out Kalamazoo's zoo, theater and festivals, or drive 40 minutes to the Lake Michigan beaches of South Haven. Student athletes can try out for the many WMU Broncos varsity sports teams, which compete in the NCAA Division I Mid-American Conference. Notable WMU alumni include Tim Allen, who starred in the television program ""Home Improvement"" and voiced Buzz Lightyear in the animated ""Toy Story"" movies. ","$25,713 ","$11,029 ","18,567"
Indiana University-Purdue University--Indianapolis,"Indianapolis, IN",197,"Indiana University-Purdue University Indianapolis, better known as IUPUI, offers more than 250 degrees, including several highly ranked master's programs. In the medical and health fields, IUPUI's well-regarded graduate programs include primary care, nursing and social work. The law school offers a prestigious legal writing program, and there are also notable master's programs in the IUPUI School of Public and Environmental Affairs. Undergraduates at IUPUI can choose from many areas of study, with unique majors such as motorsports engineering. Besides academics, IUPUI students can get involved in many student organizations, as well as Greek life and intramural sports. Student athletes can try out for the IUPUI Jaguars varsity teams, which compete in the NCAA Division I Summit League. IUPUI also hosts many events for students to attend, including the annual International Festival, which presents foods and crafts from around the world. Notable Indiana University-Purdue University Indianapolis alumni include Norman Bridwell, author and illustrator of the ""Clifford the Big Red Dog"" children's books, and Dan Quayle, vice president under George H.W. Bush. ","$29,791 ","$9,205 ","21,985"
Lesley University,"Cambridge, MA",197,"Founded in 1909, Lesley University is a private institution. The school has 74.5 percent of its classes with fewer than 20 students, and the student-faculty ratio at Lesley University is 9:1. ","$25,750 ",,"1,520"
University of Alabama--Huntsville,"Huntsville, AL",197,"Located at the southern edge of the Appalachian Mountains, the University of Alabama--Huntsville campus is in the northern part of the state, about 100 miles from Nashville. Students can choose from about 40 academic programs in the colleges of business, engineering, liberal arts, nursing and science. The university, sometimes shortened to UAHuntsville or UAH, offers master's degree programs in business, engineering and nursing, among other fields. Outside the classroom, UAH students can get involved with more than 100 campus clubs, about a dozen fraternities and sororities, The Exponent newspaper and student government. UAHuntsville also offers sports at the intramural, club and varsity levels. The UAH Chargers intercollegiate teams are members of the NCAA Division II Gulf South Conference and compete in about 14 sports. Notable University of Alabama--Huntsville alumni include science fiction author Travis Taylor and John Hendricks, founder and chairman of Discovery Communications, who established a scholarship for UAHuntsville history majors. ","$20,622 ","$9,128 ","6,013"
University of Colorado--Denver,"Denver, CO",197,"The main University of Colorado--Denver campus is located downtown, with the Anschutz Medical Campus situated a few miles east in the city of Aurora. Students at CU Denver, as it is known, can choose from more than 130 areas of study, including master's degrees in business, engineering and education. CU Denver has several highly ranked health programs, including nursing and physical therapy, and its School of Medicine has top-ranked programs in family medicine and pediatrics. Students at CU Denver can benefit from their hard work in class when they visit the Scholarship Resource Office, which helps them track down scholarships, perfect their r��sum��s and edit essays. In their free time, CU Denver students can get involved in more than 100 campus organizations, as well as student government, ROTC, The Advocate student newspaper and volunteer opportunities. CU Denver students can also check out the outdoor opportunities offered by the Rocky Mountains and the festivals, rodeos, museums and sports teams of the city of Denver. CU Denver does not offer varsity athletic teams on campus, but students can join intramural sports and ""healthy moves"" classes such as Pilates and yoga. ","$29,334 ","$10,404 ","14,036"
University of Nevada--Reno,"Reno, NV",197,"The University of Nevada--Reno is located on the border between the Great Basin and the Sierra Nevada on the western edge of the state. Nevada offers dozens of undergraduate degrees and master's programs, including business, education, medicine and engineering. The university also specializes in earthquake research and is home to one of the largest earthquake-simulation laboratories in the country. Outside the classroom and lab, Nevada students can explore more than 200 student organizations, pledge with about 20 fraternities and sororities and participate in the school's many traditions. Each fall, students paint a big Nevada ""N"" on Peavine Peak, which overlooks campus, and during basketball season, fans cheer on the team as part of the ""Blue Crew."" Student athletes can play at the intramural level or try out for one of the many Nevada Wolf Pack varsity sports teams, which compete in the NCAA Division I Mountain West Conference. Off campus, Nevada students can visit nearby Lake Tahoe, check out the museums and festivals of Reno and drive just a few hours to California's capital, Sacramento, or the San Francisco Bay Area. ","$21,052 ","$7,142 ","17,770"
California State University--Fullerton,"Fullerton, CA",202,"California State University--Fullerton (CSUF) is located in the center of Orange County, about 30 miles from Los Angeles. The school offers more than 50 undergraduate degrees and nearly 50 master's programs, including those in the Mihaylo College of Business and Economics, the education school, and the highly ranked midwifery and anesthesiology programs in the nursing department. Outside the classroom, Cal State Fullerton students can explore more than 50 clubs, join a fraternity or sorority, or play in an intramural sports team. Many students also simply soak up the sunshine of Orange County, visit the beach nearby, and explore L.A.. For student athletes, CSUF offers several Division I varsity sports teams, which compete in various conferences. The school's sports teams are called the Titans, and its mascot is an elephant named Tuffy Titan, who came to be after CSUF hosted a highly publicized intercollegiate elephant race in the 1960s. Notable Cal State Fullerton alumni include Academy Award winner Kevin Costner, who starred in Dances with Wolves and Field of Dreams. ","$17,596 ","$6,436 ","33,144"
Central Michigan University,"Mount Pleasant, MI",202,"Central Michigan University is located in Mount Pleasant, about 150 miles northwest of Detroit. At CMU, students can earn bachelor's degrees in more than 200 fields and master's degrees in many programs as well, including business, health and fine arts. CMU is one of the nation's 100 largest universities and has more than 50 locations across North America, including in Hawaii and Canada. On the Mount Pleasant campus, CMU students can get involved in nearly 400 clubs, many fraternities and sororities, and the CMU Volunteer Center. Many student volunteers participate in the Alternative Break program, through which they spend their breaks from the academic year volunteering in places such as New Orleans and Brazil. CMU also hosts many annual events, such as a cardboard boat race during Homecoming and Native American Heritage Month, when the school celebrates its relationship with the local Saginaw Chippewa Tribe. Student athletes can play recreational sports or try out for the more than 15 CMU Chippewas varsity teams, which compete in the NCAA Division I Mid-American Conference. Notable CMU alumni include sports broadcaster Dick Enberg. ","$23,670 ","$12,150 ","20,498"
Louisiana Tech University,"Ruston, LA",202,"Founded in 1894, Louisiana Tech University is a public institution. Louisiana Tech University follows a quarter-based academic calendar and its admissions are considered more selective. ","$25,851 ","$8,853 ","10,682"
South Dakota State University,"Brookings, SD",202,"Founded in 1881, South Dakota State University is a public institution. The school has 32.4 percent of its classes with fewer than 20 students, and the student-faculty ratio at South Dakota State University is 17:1. ","$11,403 ","$8,172 ","11,007"
University of Alaska--Fairbanks,"Fairbanks, AK",202,"University of Alaska--Fairbanks is a public institution that was founded in 1917. It has a total undergraduate enrollment of 7,610, its setting is urban, and the campus size is 2,250 acres. It utilizes a semester-based academic calendar. University of Alaska--Fairbanks's ranking in the 2017 edition of Best Colleges is National Universities, 202. Its in-state tuition and fees are $7,799 (2016-17); out-of-state tuition and fees are $22,469 (2016-17).","$22,469 ","$7,799 ","7,610"
University of North Carolina--Charlotte,"Charlotte, NC",202,"Founded in 1946, University of North Carolina--Charlotte is a public institution. University of North Carolina--Charlotte follows a semester-based academic calendar and its admissions are considered selective. ","$20,193 ","$6,617 ","22,732"
University of North Dakota,"Grand Forks, ND",202,"The University of North Dakota is located in the city of Grand Forks on the eastern edge of the state, just a few miles from the Minnesota border. Students at the University of North Dakota can study in more than 200 academic fields, including graduate programs in business, law, engineering and education. The University of North Dakota, which is often abbreviated to UND, also has a highly ranked rural medicine program in its School of Medicine and Health Sciences. Outside the classroom, students can join more than 200 campus clubs, get involved in Greek life and participate in student government. Student athletes can play at the intramural level or try out for North Dakota varsity sports teams, which compete in the NCAA Division I in various conferences. Notable UND alumni include Chuck Klosterman, author of several books including ""Sex, Drugs, and Cocoa Puffs: A Low Culture Manifesto,"" and Sally Smith, CEO of the Buffalo Wild Wings restaurant franchise. ","$18,899 ","$4,965 ","11,577"
University of South Dakota,"Vermillion, SD",202,"Founded in 1862, University of South Dakota is a public institution. University of South Dakota offers a Greek system, where 23 percent of the student body is involved in a sorority and 14 percent is involved in a fraternity. ","$11,688 ","$8,457 ","7,435"
East Carolina University,"Greenville, NC",210,"East Carolina University is located in Greenville, North Carolina, about 80 miles from the state capital of Raleigh. The university offers more than 100 undergraduate degrees and more than 75 master's programs, including those in the fields of business and education. Graduate students can also study in the Brody School of Medicine, which has a highly ranked rural medicine program. At the Nancy W. Darden Child Development Center, students focusing on birth to kindergarten education can observe and interact with small children. ECU students can get involved by joining more than 300 campus clubs, pledging with numerous fraternities and sororities or playing in a wide variety of intramural sports. More serious athletes can try out for the ECU Pirates varsity teams, which compete in the NCAA Division I American Athletic Conference. Notable ECU alumni include actress Sandra Bullock, who won an Academy Award for her role in ""The Blind Side,"" and Vince and Linda McMahon, the founders of World Wrestling Entertainment. ","$22,904 ","$6,946 ","23,039"
Montana State University,"Bozeman, MT",210,"Located in the city of Bozeman, Montana State University offers about 60 areas of study for undergraduate students. The university also offers more than 40 master's programs, including engineering, education and nursing. Montana State University's research facilities include the Plant Growth Center, with about 30 greenhouses, and the Center for Bison and Wildlife Health. Montana State is also home to the Museum of the Rockies, which has, among other exhibits, an extensive collection of dinosaur fossils. Montana State alumna Mary Schweitzer became famous in the paleontology world when she discovered soft tissue in a Tyrannosaurus rex bone. Montana State, often abbreviated to MSU, also offers many student organizations, Greek life and recreational sports. More serious athletes can try out for the blue-and-gold Montana State Bobcats varsity sports teams, which compete in the NCAA Division I Big Sky Conference. Other notable alumni include Jan Stenerud, who went to MSU on a skiing scholarship, joined the Bobcats football team his junior year and became one of the few Pro Football Hall of Fame placekickers. ","$23,042 ","$7,031 ","13,707"
Old Dominion University,"Norfolk, VA",210,"Originally created as a division of the College of William and Mary, Old Dominion University is now an independent institution in Norfolk, Virginia. Students have more than 100 academic programs to choose from and, outside of class, more than 300 clubs and organizations to consider. Freshmen aren't required to live on campus. The ODU sports teams compete in the NCAA Division I Conference USA. The university is also committed to research, operating the Center for Accelerator Science and the Virginia Modeling, Analysis and Simulation Center. Old Dominion University also offers a wide variety of graduate degree programs, including those in the Strome College of Business and the Darden College of Education. Notable alumni of Old Dominion University include Ben Bailey, former host of the TV game show ""Cash Cab,"" and Jay Harris, ESPN ""SportsCenter"" anchor. ","$27,028 ","$10,048 ","20,101"
University of Missouri--Kansas City,"Kansas City, MO",210,"At the University of Missouri--Kansas City, students can choose from more than 120 academic programs and majors, including master's degrees from the Henry W. Bloch School of Management and the schools of medicine, computing and engineering, and education. Outside the classroom, UMKC students can explore more than 175 clubs and about 15 Greek-letter organizations. There are about 16 varsity sports teams, named the UMKC Kangaroos, which compete in the NCAA Division I Western Athletic Conference. The university developed the team name in the 1930s, when community excitement about the Kansas City Zoo's purchase of two baby kangaroos grew, and when Walt Disney himself drew a cartoon of the Kasey Kangaroo mascot. Although he never graduated, former President Harry Truman attended the UMKC law school for two years and later received the school's first honorary degree. Today, he is the namesake of the university's Harry S Truman Center for Governmental Affairs. ","$22,714 ","$9,551 ","11,253"
Ashland University,"Ashland, OH",214,"At Ashland University, undergraduate students have more than 70 options for majors, including actuarial sciences, multi-age education and digital media production. The university is affiliated with the Brethren Church, and worship opportunities are offered on campus through The Well, a Christian movement, and the Newman Catholic Campus Ministry, among other groups. In addition, there are more than 100 student organizations to check out, and many Ashland students opt to join a fraternity or sorority. Student athletes compete as the Ashland Eagles in the NCAA Division II Great Lakes Intercollegiate Athletic Conference. Among the graduate school offerings at Ashland University is the Dwight Schar College of Education. For road trips from campus, Ashland is within driving distance of major Ohio cities, including Akron, Cleveland and Columbus. ","$20,392 ",,"3,716"
Dallas Baptist University,"Dallas, TX",214,"At Dallas Baptist University, or DBU, faith is integrated into academics and campus life. The university is divided into academic departments such as the College of Christian Faith and the College of Natural Sciences and Mathematics. The Baptist Student Ministries organizes events, Bible studies, and mission trips, and students can also worship at weekly men's and women's Bible studies meetings; university events such as an annual conference called ""livepure"" and more. The DBU Patriots sports teams compete in the NCAA Division II Heartland Conference and are particularly dominant in baseball. For fun off campus, downtown Dallas is about 15 miles away. Notable alumni of Dallas Baptist University include Christian music artists Chris Clayton and Kari Jobe and former St. Louis Cardinals catcher Jason LaRue. ","$26,180 ",,"3,315"
Northern Illinois University,"DeKalb, IL",214,"Northern Illinois University is located about 65 miles west of Chicago in the city of DeKalb. Graduate students can choose from about 80 master's degrees, including those offered by the colleges of business and law and the highly ranked Division of Public Administration. Undergraduates can choose from about 60 academic majors and participate in the Research Rookies program, which gives freshmen and sophomores a chance to conduct research in their field of study under faculty guidance. Many students at Northern Illinois University choose to study abroad, and the school offers programs for academic credit in about 75 countries. On campus, Northern Illinois students can join more than 200 clubs and about 40 Greek-letter organizations. The university is also home to numerous varsity athletic teams, which compete in the NCAA Division I Mid-American Conference. The NIU sports teams are known as the Huskies, but that hasn't always been the case. They were called the Teachers and the Profs in the school's early days as a teachers college, and they have been nicknamed the Cardinals and the Northerners as well. Notable NIU alumni include Dan Castellaneta, who voices Homer Simpson and several other characters on the animated television show ""The Simpsons. ","$23,799 ","$14,334 ","15,027"
Nova Southeastern University,"Ft. Lauderdale, FL",214,"Founded in 1964, Nova Southeastern University is a private institution. The school has 78.2 percent of its classes with fewer than 20 students, and the student-faculty ratio at Nova Southeastern University is 16:1. ","$27,660 ",,"4,641"
Southern Illinois University--Carbondale,"Carbondale, IL",214,"Founded in 1869, Southern Illinois University--Carbondale is a public institution. Southern Illinois University--Carbondale offers a Greek system, where 5 percent of the student body is involved in a sorority and 4 percent is involved in a fraternity. ","$27,130 ","$13,481 ","13,031"
University of Montana,"Missoula, MT",214,"The University of Montana campus in Missoula is situated by the Clark Fork River, near Mount Sentinel in the western part of the state. Students at the University of Montana can choose from numerous academic programs, including graduate degrees in the Phyllis J. Washington College of Education and Human Sciences, and in the schools of business and law. University of Montana students can also earn course credit by interning with the school's Program in Ecological Agriculture and Society (PEAS). During the internship, students work on the university's 10-acre farm, which produces crops for emergency food shelters. The university, which is often abbreviated to UM, also offers many academic programs and student organizations that focus on American Indian culture. Outside the classroom, students can join more than 150 clubs, Greek life and intramural and club sports teams. More serious athletes can try out for the Montana Griz (as in Grizzlies) varsity teams, which compete in the NCAA Division I Big Sky Conference. Notable UM alumni include Carroll O'Connor, who starred as Archie Bunker in the television show ""All in the Family""; Colin Meloy, the lead singer of The Decemberists; and actor J.K. Simmons, who has appeared in the ""Law & Order"" television show and in the ""Spider-Man"" movies. ","$24,562 ","$6,446 ","8,732"
Benedictine University,"Lisle, IL",220,"Founded in 1887, Benedictine University is a private institution. The school has 70.7 percent of its classes with fewer than 20 students, and the student-faculty ratio at Benedictine University is 12:1. ","$32,170 ",,"3,347"
